0,0,284,232,0,255,0
284,232,207,263,0,255,0
207,263,168,306,0,255,0
168,306,168,337,0,255,0
168,337,183,378,0,255,0
183,378,196,391,0,255,0
196,391,206,394,0,255,0
206,394,259,391,0,255,0
259,391,281,377,0,255,0
281,377,308,358,0,255,0
308,358,290,334,0,255,0
290,334,274,334,0,255,0
274,334,272,343,0,255,0
272,343,264,357,0,255,0
264,357,244,366,0,255,0
244,366,220,371,0,255,0
220,371,209,369,0,255,0
209,369,197,362,0,255,0
197,362,188,344,0,255,0
188,344,187,331,0,255,0
187,331,192,320,0,255,0
192,320,202,310,0,255,0
202,310,220,305,0,255,0
220,305,237,300,0,255,0
237,300,248,294,0,255,0
248,294,288,277,0,255,0
288,277,325,249,0,255,0
325,249,326,245,0,255,0
326,245,330,238,0,255,0
330,238,330,235,0,255,0
330,235,329,232,0,255,0
329,232,329,225,0,255,0
329,225,328,222,0,255,0
328,222,327,219,0,255,0
327,219,325,212,0,255,0
325,212,321,201,0,255,0
321,201,319,197,0,255,0
319,197,316,194,0,255,0
316,194,286,173,0,255,0
286,173,57,0,0,255,0
286,173,396,84,0,255,0
396,84,360,58,0,255,0
360,58,359,113,0,255,0
359,113,311,88,0,255,0
311,88,315,144,0,255,0
315,144,200,106,0,255,0
200,106,311,89,0,255,0
311,89,363,57,0,255,0
363,57,125,50,0,255,0
363,57,197,105,0,255,0
363,57,79,14,0,255,0
396,82,433,1,0,255,0
361,57,362,1,0,255,0
361,57,436,1,0,255,0
81,14,360,0,0,255,0
